Titulo,Atores,Diretores,Generos
I'm Your Woman (2020),,Julia Hart,Crime:Drama
Beyond the Black Rainbow (2010),,Panos Cosmatos,Horror:Sci-Fi:Thriller
Starbuck (2011),,Ken Scott,Comedy:Drama
T-34 (2018),,Aleksey Sidorov,Action:War
Reservation Road (2007),,Terry George,Crime:Drama:Thriller
Beast (2018),,Michael Pearce,Crime:Drama:Mystery:Romance
Dil To Pagal Hai (1997),,Yash Chopra,Comedy:Drama:Musical:Romance
Virus (2019),,Wolfgang Petersen,Action:Drama:Thriller
The Most Dangerous Game (1932),,Irving Pichel:Ernest B. Schoedsack,Action:Adventure:Horror:Thriller
Who Killed the Electric Car? (2006),,Chris Paine,Documentary
Come to Daddy (2020),,Ant Timpson,Comedy:Horror:Mystery:Thriller
Ta Ra Rum Pum (2007),,Siddharth Anand,Comedy:Drama:Family:Romance:Sport
Children of a Lesser God (1986),,Randa Haines,Drama:Romance
That Sugar Film (2014),,Damon Gameau,Documentary
The Woman (2011),,Lucky McKee,Drama:Horror
The Babysitters (2008),,David Ross,Drama
The Program (2015),,Stephen Frears,Biography:Drama:Sport
A Mighty Heart (2007),,Michael Winterbottom,Biography:Drama:History:Thriller:War
The Night Eats the World (2018),,Dominique Rocher,Drama:Horror:Thriller
The Tall Man (2012),,Pascal Laugier,Crime:Drama:Horror:Mystery:Thriller
Padmaavat (2018),,Sanjay Leela Bhansali,Drama:History:Romance:War
The Final Cut (2004),,Omar Naim,Drama:Sci-Fi:Thriller
Nick of Time (1995),,John Badham,Action:Crime:Drama:Thriller
Rio Grande (1950),,John Ford,Romance:Western
Big Bad Wolves (2013),,Aharon Keshales:Navot Papushado,Drama:Horror:Thriller
I Spy (2002),,Betty Thomas,Action:Adventure:Comedy:Thriller
Hard Rain (1998),,Mikael Salomon,Action:Crime:Drama:Thriller
Agent Sai Srinivasa Athreya (2019),,Swaroop Rsj,Comedy:Crime:Mystery:Thriller
Dead & Buried (1981),,Gary Sherman,Horror:Mystery
The King's Choice (2016),,Erik Poppe,Biography:Drama:History:War
We Are Still Here (2015),,Ted Geoghegan,Horror:Mystery
The Brass Teapot (2012),,Ramaa Mosley,Comedy:Fantasy:Thriller
Bottle Shock (2008),,Randall Miller,Comedy:Drama
Troop Zero (2019),,Bert:Bertie,Comedy:Drama:Family
02:22 (2017),,Paul Currie,Drama:Mystery:Sci-Fi:Thriller
Money Train (1995),,Joseph Ruben,Action:Comedy:Crime:Drama:Thriller
Trees Lounge (1996),,Steve Buscemi,Comedy:Drama
Guava Island (2019),,Hiro Murai,Comedy:Drama:Music:Musical:Thriller
Better Luck Tomorrow (2002),,Justin Lin,Crime:Drama:Romance
1492: Conquest of Paradise (1992),,Ridley Scott,Adventure:Biography:Drama:History
Teeth (2008),,Mitchell Lichtenstein,Action:Comedy:Fantasy:Horror:Mystery:Romance:Thriller
White Bird in a Blizzard (2014),,Gregg Araki,Drama:Mystery:Thriller
The Barkley Marathons: The Race That Eats Its Young (2014),,Annika Iltis:Timothy James Kane,Documentary:Adventure:History:Sport
The Secret: Dare to Dream (2020),,Andy Tennant,Drama:Romance
My Bloody Valentine (1981),,Patrick Lussier,Horror:Mystery:Thriller
Chemical Hearts (2020),,Richard Tanne,Drama:Romance
Creepshow 2 (1987),,Michael Gornick,Fantasy:Horror
George Carlin: Life Is Worth Losing (2005),,Rocco Urbisci,Documentary:Comedy
Meet John Doe (1941),,Frank Capra,Comedy:Drama:Romance
Piranha (1978),,Alexandre Aja,Comedy:Fantasy:Horror:Romance
The Kentucky Fried Movie (1977),,John Landis,Comedy
Hobo with a Shotgun (2011),,Jason Eisener,Action:Comedy:Horror:Thriller
Cul-de-sac (1966),,Roman Polanski,Comedy:Drama:Thriller
Hondo (1953),,John Farrow,Drama:Romance:War:Western
Wolf Creek 2 (2013),,Greg McLean,Horror:Thriller
Regression (2015),,Alejandro Amenábar,Crime:Drama:Mystery:Thriller
The Dark Valley (2014),,Andreas Prochaska,Action:Drama:Western
The Little Shop of Horrors (1960),,Frank Oz,Comedy:Horror:Musical:Romance:Sci-Fi
Detective Byomkesh Bakshy! (2015),,Dibakar Banerjee,Action:Crime:Drama:Mystery:Thriller
Sands of Iwo Jima (1950),,Allan Dwan,Action:Drama:Romance:War
Space Pirate Captain Harlock (2013),,Shinji Aramaki,Animation:Adventure:Sci-Fi
Warlock (1989),,Steve Miner,Action:Fantasy:Horror:Thriller
9th Company (2005),,Fedor Bondarchuk,Action:Drama:History:War
10 Rillington Place (1971),,Richard Fleischer,Biography:Crime:Drama:Thriller
Extracted (2012),,Nir Paniry,Drama:Sci-Fi
The Grand Seduction (2013),,Don McKellar,Comedy
The Double (2011),,Joel Schumacher,Action:Comedy:Thriller
After the Dark (2013),,John Huddles,Drama:Fantasy:Sci-Fi
Carnal Knowledge (1971),,Mike Nichols,Drama
I Give It a Year (2013),,Dan Mazer,Comedy:Romance
Last Shift (2014),,Anthony DiBlasi,Horror:Mystery
Look Away (2018),,Assaf Bernstein,Drama:Fantasy:Horror:Thriller
The Transporter Refueled (2015),,Camille Delamarre,Action:Adventure:Thriller
Blue Thunder (1983),,John Badham,Action:Crime:Drama:Thriller
The Attorney (2013),,WooSuk Yang,Drama
The Beastmaster (1982),,Don Coscarelli,Action:Adventure:Fantasy
Mortal (2020),,André Øvredal,Action:Adventure:Drama:Fantasy
Spread (2009),,David Mackenzie,Comedy:Drama:Romance
The Nutty Professor (1963),,Tom Shadyac,Comedy:Romance:Sci-Fi
Kesari (2019),,Anurag Singh,Action:Drama:History:Thriller:War
Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007),,Peter Bogdanovich,Documentary:Music
Desert Bloom (1986),,Eugene Corr,Drama:Family:Romance
The Secret of Roan Inish (1994),,John Sayles,Drama:Family:Fantasy
Convoy (1978),,Sam Peckinpah,Action:Drama
One Step Behind the Seraphim (2017),,Daniel Sandu,Drama
Ladies vs Ricky Bahl (2011),,Maneesh Sharma,Comedy:Crime:Drama:Romance
100 Girls (2000),,Michael Davis,Comedy:Romance
Karwaan (2018),,Akarsh Khurana,Adventure:Comedy:Drama
Blind Fury (1989),,Phillip Noyce,Action:Comedy:Crime:Drama:Thriller
Fat City (1972),,John Huston,Drama:Sport
Arkansas (2020),,Clark Duke,Crime:Thriller
The Man with the Golden Arm (1955),,Otto Preminger,Crime:Drama:Romance
The Beast of War (1988),,Kevin Reynolds,Adventure:Drama:War
Black Butterfly (2017),,Brian Goodman,Thriller
Kansas City Confidential (1952),,Phil Karlson,Crime:Drama:Film-Noir:Thriller
The Story of Adele H. (1975),,François Truffaut,Biography:Drama:History
Gleason (2016),,Clay Tweel,Documentary
Bob Roberts (1992),,Tim Robbins,Comedy:Drama
Drug War (2012),,Hae-Young Lee,Action:Crime:Thriller
47 Meters Down: Uncaged (2019),,Johannes Roberts,Adventure:Drama:Horror:Thriller
Leatherheads (2008),,George Clooney,Comedy:Drama:Romance:Sport
Butter (2012),,Jim Field Smith,Comedy:Drama
I.Q. (1994),,Fred Schepisi,Comedy:Romance
Bachna Ae Haseeno (2008),,Siddharth Anand,Comedy:Drama:Romance
Any Day Now (2012),,nan,Drama
The Front (1976),,Martin Ritt,Drama
The Messengers (2007),,Danny Pang:Oxide Chun Pang,Drama:Horror:Thriller
A Girl Like Her (2015),,Amy S. Weber,Drama
The Strange Love of Martha Ivers (1946),,Lewis Milestone,Drama:Film-Noir:Romance
Gloria Bell (2019),,Sebastián Lelio,Comedy:Drama:Music:Romance
Soapdish (1991),,Michael Hoffman,Comedy:Romance
When a Stranger Calls (1979),,Simon West,Horror:Thriller
Frances (1982),,Graeme Clifford,Biography:Drama:Romance
Hatred (2016),,Wojciech Smarzowski,Drama:History:War
Stella Dallas (1937),,King Vidor,Drama:Romance
Beneath Hill 60 (2010),,Jeremy Sims,Drama:History:War
The Animal (2001),,Luke Greenfield,Comedy:Sci-Fi
Mikey and Nicky (1976),,Elaine May,Crime:Drama
10 Items or Less (2006),,Brad Silberling,Comedy:Drama
The Stuff (1985),,Larry Cohen,Comedy:Horror:Sci-Fi
Reefer Madness: The Movie Musical (2006),,Andy Fickman,Comedy:Drama:Horror:Musical
Cold Skin (2017),,Xavier Gens,Action:Adventure:Fantasy:Horror:Sci-Fi:Thriller
April Fool's Day (1986),,Fred Walton,Horror:Mystery
Just Friends (2018),,Roger Kumble,Comedy:Romance
Hatchet (2006),,Adam Green,Comedy:Horror:Thriller
In the Electric Mist (2009),,Bertrand Tavernier,Crime:Drama:Mystery:Thriller
Bill Cunningham New York (2011),,Richard Press,Documentary:Biography:History
Kill Me Three Times (2015),,Kriv Stenders,Action:Comedy:Crime:Thriller
Wishmaster (1997),,Robert Kurtzman,Fantasy:Horror
Dhoom 2 (2006),,Sanjay Gadhvi,Action:Crime:Thriller
Mardaani (2014),,Pradeep Sarkar,Action:Crime:Drama:Thriller
Wonderstruck (2017),,Todd Haynes,Adventure:Drama:Mystery
Split Second (1992),,Tony Maylam,Action:Crime:Horror:Sci-Fi:Thriller
The Perfect Score (2004),,Brian Robbins,Comedy:Crime:Drama
Under the Boardwalk: The Monopoly Story (2011),,Kevin Tostado,Documentary:History:Sport
The Only Living Boy in New York (2017),,Marc Webb,Drama
Thoda Pyaar Thoda Magic (2008),,Kunal Kohli,Comedy:Drama:Family:Fantasy:Romance
Dante's Inferno: An Animated Epic (2010),,Victor Cook:Mike Disa:Sangjin Kim:Shûkô Murase:Jong-Sik Nam:Lee Seung-Gyu:Yasuomi Umetsu,Animation:Action:Adventure:Drama:Fantasy:Horror
The Vanishing (2019),,Kristoffer Nyholm,Crime:Drama:Mystery:Thriller
LOL (2012),,Lisa Azuelos,Comedy:Drama:Romance
Georgia Rule (2007),,Garry Marshall,Comedy:Drama
Infinity Chamber (2016),,Travis Milloy,Sci-Fi:Thriller
Ninnu Kori (2017),,Shiva Nirvana,Comedy:Romance
Manhattan Night (2016),,Brian DeCubellis,Crime:Drama:Mystery:Thriller
Journey's End (2017),,Saul Dibb,Drama:War
Broken Blossoms (1919),,D.W. Griffith,Drama:Romance
Jab Tak Hai Jaan (2012),,Yash Chopra,Drama:Romance
Beowulf & Grendel (2005),,Sturla Gunnarsson,Action:Adventure:Drama:Fantasy
Dead End (1937),,Jean-Baptiste Andrea:Fabrice Canepa,Adventure:Horror:Mystery:Thriller
Ash Is Purest White (2018),,Zhangke Jia,Crime:Drama:Romance
Phase IV (1974),,Saul Bass,Horror:Sci-Fi:Thriller
The Assignment (1997),,Walter Hill,Action:Crime:Thriller
The Naked Kiss (1964),,Samuel Fuller,Crime:Drama
Pet (2016),,Carles Torrens,Horror:Thriller
Bharat Ane Nenu (2018),,Koratala Siva,Action:Drama
Ashby (2015),,Tony McNamara,Comedy:Crime:Drama:Romance
Diary of a Mad Black Woman (2005),,Darren Grant,Comedy:Drama:Romance
Janis: Little Girl Blue (2015),,Amy Berg,Documentary:Biography:Music
Goodachari (2018),,Sashi Kiran Tikka,Action:Thriller
Mario (2018),,Marcel Gisler,Drama:Romance:Sport
The Hitch-Hiker (1953),,Michael Gornick,Fantasy:Horror
Fritz the Cat (1972),,Ralph Bakshi,Animation:Comedy:Drama
Daawat-e-Ishq (2014),,Habib Faisal,Comedy:Drama:Romance
Orphans (1998),,Peter Mullan,Comedy:Drama
Mondays in the Sun (2002),,Fernando León de Aranoa,Comedy:Drama
The Greatest Show on Earth (1952),,Cecil B. DeMille,Drama:Family:Romance
Billionaire Boys Club (2018),,James Cox,Biography:Drama:Thriller
Little Nemo: Adventures in Slumberland (1989),,Masami Hata:William T. Hurtz,Animation:Adventure:Comedy:Family:Fantasy
Remo Williams: The Adventure Begins (1985),,Guy Hamilton,Action:Adventure:Comedy:Crime:Romance:Thriller
Gimme Danger (2016),,Jim Jarmusch,Documentary:Music
Elvis & Nixon (2016),,Liza Johnson,Comedy:History
Texas Chainsaw 3D (2013),,John Luessenhop,Horror:Thriller
The Reef (2010),,Andrew Traucki,Adventure:Drama:Horror:Thriller
The Gambler (1974),,Rupert Wyatt,Crime:Drama:Thriller
Hired Gun (2017),,Fran Strine,Documentary:Music
Ladies in Lavender (2004),,Charles Dance,Drama:Music:Romance
Boy Meets Girl (2015),,Leos Carax,Drama:Romance
I Wish (2011),,Hirokazu Koreeda,Drama
360 (2012),,Fernando Meirelles,Drama:Thriller
The Gruffalo's Child (2011),,Uwe Heidschötter:Johannes Weiland,Animation:Family
Motel Hell (1980),,Kevin Connor,Comedy:Horror:Thriller
Bandslam (2009),,Todd Graff,Comedy:Drama:Family:Music:Romance
Tab Hunter Confidential (2015),,Jeffrey Schwarz,Documentary:Biography
Powder Blue (2009),,Timothy Linh Bui,Drama
Tumbledown (2015),,Sean Mewshaw,Comedy:Music:Romance
Deuce Bigalow: European Gigolo (2005),,Mike Bigelow,Comedy
Donovan's Reef (1963),,John Ford,Adventure:Comedy:Romance
Mao's Last Dancer (2009),,Bruce Beresford,Biography:Drama:Music:Romance
He Walked by Night (1949),,Alfred L. Werker:Anthony Mann,Crime:Film-Noir:Thriller
The Two Jakes (1990),,Jack Nicholson,Crime:Drama:Mystery:Romance
Assault on Wall Street (2013),,Uwe Boll,Action:Drama:Thriller
Herself (2020),,Phyllida Lloyd,Drama
Bleeding Steel (2017),,Leo Zhang,Action:Sci-Fi:Thriller
Gett: The Trial of Viviane Amsalem (2014),,Ronit Elkabetz:Shlomi Elkabetz,Drama
Little Man (2006),,Keenen Ivory Wayans,Comedy:Crime
Home for the Holidays (1995),,Jodie Foster,Comedy:Drama:Romance
Afternoon Delight (2013),,Joey Soloway,Comedy:Drama
Jathi Ratnalu (2021),,Anudeep K.V.,Comedy
Knights of Badassdom (2013),,Joe Lynch,Action:Adventure:Comedy:Fantasy:Horror
Daniel Isn't Real (2019),,Adam Egypt Mortimer,Crime:Drama:Fantasy:Horror:Mystery:Thriller
Sunday Bloody Sunday (1971),,John Schlesinger,Drama
Jallikattu (2019),,Lijo Jose Pellissery,Action:Crime:Thriller
Careful What You Wish For (2015),,Elizabeth Allen Rosenbaum,Drama:Thriller
Gold (2018),,Stephen Gaghan,Crime:Drama
The Family Fang (2016),,Jason Bateman,Comedy:Drama:Mystery
The Offence (1973),,Sidney Lumet,Crime:Drama:Thriller
Interview (2007),,Federico Fellini,Comedy:Drama:Fantasy
The Band's Visit (2007),,Eran Kolirin,Comedy:Drama:Music:Romance
Mystery Road (2013),,nan,Crime:Drama:Mystery:Thriller
Final Score (2018),,Scott Mann,Action:Drama:Thriller
Diggstown (1992),,Michael Ritchie,Drama:Sport
Big Eden (2000),,Thomas Bezucha,Comedy:Drama:Romance
Of Human Bondage (1934),,John Cromwell,Drama:Romance
Horsemen (2009),,Jonas Åkerlund,Crime:Drama:Mystery:Thriller
Judas Kiss (1998),,Sebastian Gutierrez,Crime:Drama:Thriller
Target Number One (2020),,Daniel Roby,Crime:Thriller
Blame It on Fidel! (2006),,Julie Gavras,Drama:History
Band Baaja Baaraat (2010),,Maneesh Sharma,Comedy:Drama:Romance
Atlas Shrugged: Part I (2011),,Paul Johansson,Drama:Mystery:Sci-Fi
The Bang Bang Club (2010),,Steven Silver,Biography:Drama:History
What Have You Done to Solange? (1972),,Massimo Dallamano,Horror:Mystery:Thriller
Standing in the Shadows of Motown (2002),,Paul Justman,Documentary:Music
Hyena Road (2015),,Paul Gross,Action:Drama:War
HIT: The First Case (2020),,Sailesh Kolanu,Action:Crime:Drama:Mystery:Thriller
Necessary Roughness (1991),,Stan Dragoti,Comedy:Sport
Stomp the Yard (2007),,Sylvain White,Drama:Music:Romance
The Winslow Boy (1999),,David Mamet,Drama:Romance
I'll Follow You Down (2013),,Richie Mehta,Drama:Mystery:Sci-Fi
The Wild Geese (1978),,Andrew V. McLaglen,Action:Adventure:Drama:Thriller:War
King of Thieves (2018),,James Marsh,Biography:Crime:Drama:History
White Zombie (1932),,Victor Halperin,Horror
The Possession of Michael King (2014),,David Jung,Horror
Heartburn (1986),,Mike Nichols,Comedy:Drama
Factory Girl (2006),,George Hickenlooper,Biography:Drama
The Resurrection of Jake The Snake (2015),,Steve Yu,Documentary:Biography:Sport
Love Mocktail (2020),,Darling Krishna,Drama:Romance
Love Liza (2002),,Todd Louiso,Comedy:Drama
The Ones Below (2016),,David Farr,Drama:Thriller
Black Box (2020),,Emmanuel Osei-Kuffour,Horror:Mystery:Sci-Fi:Thriller
The Kill Team (2019),,Dan Krauss,Action:Biography:Drama:Thriller:War
Cool World (1992),,Ralph Bakshi,Animation:Comedy:Fantasy
Do You Remember Dolly Bell? (1981),,Emir Kusturica,Comedy:Drama:Romance
Blackbird (2019),,Roger Michell,Drama
Penny Serenade (1941),,George Stevens,Drama:Romance
Jeffrey (1995),,Christopher Ashley,Comedy:Drama
Never Surrender: A Galaxy Quest Documentary (2019),,Jack Bennett,Documentary
Life with Father (1947),,Michael Curtiz,Comedy
Hunting and Gathering (2007),,Claude Berri,Drama:Romance
2 Days in New York (2012),,Julie Delpy,Comedy:Drama:Romance
Right at Your Door (2006),,Chris Gorak,Drama:Sci-Fi:Thriller
Passion Fish (1992),,John Sayles,Drama
The Lords of Salem (2012),,Rob Zombie,Horror:Thriller
Serena (2014),,Gregory Nava,Biography:Drama:Music
House of Hummingbird (2019),,Bora Kim,Drama
Super Size Me 2: Holy Chicken! (2019),,Morgan Spurlock,Documentary
Kaala Patthar (1979),,Yash Chopra,Action:Drama:History:Thriller
God of Love (2010),,Luke Matheny,Short:Comedy:Fantasy:Romance
Dead Man on Campus (1998),,Alan Cohn,Comedy
The Opposite of Sex (1998),,Don Roos,Comedy:Drama:Romance
A Fantastic Fear of Everything (2012),,Crispian Mills:Chris Hopewell,Comedy:Horror
Suddenly (1954),,Lewis Allen,Crime:Drama:Film-Noir:Thriller
Clockwatchers (1997),,Jill Sprecher,Comedy:Drama
Pay the Ghost (2015),,Uli Edel,Horror:Thriller
Battles Without Honor and Humanity: Deadly Fight in Hiroshima (1973),,Kinji Fukasaku,Action:Crime:Drama:History
The Phantom (1996),,Simon Wincer,Action:Adventure:Comedy:Fantasy
Jasper Mall (2020),,Bradford Thomason:Brett Whitcomb,Documentary
The Little Princess (1939),,Walter Lang:William A. Seiter,Comedy:Drama:Family:Musical
Candyman: Farewell to the Flesh (1995),,Bill Condon,Horror:Thriller
Borderland (2007),,Zev Berman,Crime:Horror:Thriller
Zakir Khan : Haq Se Single (2017),,Angshuman Ghosh,Comedy
Maidentrip (2014),,Jillian Schlesinger,Documentary:Adventure:Biography
Monsters of Man (2020),,Mark Toia,Action:Sci-Fi:Thriller
Tabu (1931),,nan,Drama:Mystery:Thriller
Dil Bole Hadippa! (2009),,Anurag Singh,Comedy:Drama:Romance:Sport
Babes in Toyland (1934),,Jack Donohue,Comedy:Family:Fantasy:Musical:Romance
The Answer Man (2009),,John Hindman,Comedy:Romance
Silsila (1981),,Yash Chopra,Drama:Family:Romance
Ooops! Noah is Gone... (2015),,Toby Genkel:Sean McCormack,Animation:Adventure:Comedy:Family
Stick Man (2015),,Jeroen Jaspaert:Daniel Snaddon,Animation:Adventure:Family
Operation Avalanche (2016),,Matt Johnson,Drama:Mystery:Thriller
A Vigilante (2019),,Sarah Daggar-Nickson,Crime:Drama:Mystery:Thriller
Saathiya (2002),,Shaad Ali,Drama:Family:Romance
Stander (2004),,Bronwen Hughes,Action:Biography:Crime:Drama
In Secret (2013),,Charlie Stratton,Crime:Drama:Thriller
The Extraordinary Journey of the Fakir (2018),,Ken Scott,Adventure:Comedy:Drama
Wish Upon a Star (1996),,Blair Treu,Comedy:Family:Fantasy
Did You Hear About the Morgans? (2009),,Marc Lawrence,Comedy:Drama:Romance
The Last King (2016),,Nils Gaup,Action:Drama:History:War
My Best Friend (2018),,Martín Deus,Drama:Romance
Mia and the White Lion (2018),,Gilles de Maistre,Adventure:Drama:Family
Status Update (2018),,Scott Speer,Comedy:Fantasy:Romance
The Perfect Game (2010),,William Dear,Comedy:Drama:Family:Sport
The Delta Force (1986),,Menahem Golan,Action:Adventure:Drama:Thriller:War
Black Robe (1991),,Bruce Beresford,Adventure:Drama:History:War
The Fare (2019),,D.C. Hamilton,Mystery:Romance:Thriller
Bigil (2019),,Atlee Kumar,Action:Drama:Sport
Stay Tuned (1992),,Peter Hyams,Adventure:Comedy:Fantasy
The Baytown Outlaws (2012),,Barry Battles,Action:Comedy:Crime
...And God Created Woman (1956),,Roger Vadim,Drama:Romance
Sufna (2020),,Jagdeep Sidhu,Romance
Belle and Sebastian (2013),,Nicolas Vanier,Adventure:Drama:Family
Fever Pitch (1997),,Bobby Farrelly:Peter Farrelly,Comedy:Drama:Romance:Sport
Beyond Re-Animator (2003),,Brian Yuzna,Comedy:Horror:Sci-Fi
The Accidental Husband (2008),,Griffin Dunne,Comedy:Romance
The Comedy of Terrors (1964),,Jacques Tourneur,Comedy:Horror
Proof (1991),,nan,Crime:Drama:Mystery:Thriller
Jimmy O. Yang: Good Deal (2020),,Marcus Raboy,Comedy
Oddball (2015),,Stuart McDonald,Adventure:Family
Jawaani Jaaneman (2020),,Nitin Kakkar,Comedy:Drama
Shivaay (2016),,Ajay Devgn,Action:Adventure:Drama:Thriller
Back Roads (2019),,Alex Pettyfer,Crime:Drama:Thriller
The Count of Monte-Cristo (1975),,David Greene,Adventure:Drama:History
C.H.U.D. (1984),,Douglas Cheek,Horror:Sci-Fi
Filmage: The Story of Descendents/All (2013),,Deedle Lacour:Matt Riggle,Documentary:Biography:Music
So Undercover (2012),,Tom Vaughan,Action:Comedy:Crime
Outpost (2008),,Steve Barker,Action:Horror:Sci-Fi
Home Sweet Hell (2015),,Anthony Burns,Comedy:Crime:Thriller
Woman on the Run (1950),,Norman Foster,Crime:Drama:Film-Noir:Thriller
Surviving Christmas (2004),,Mike Mitchell,Comedy:Romance
Siberia (2018),,Abel Ferrara,Drama:Fantasy:Horror
More than a Game (2008),,Kristopher Belman,Documentary:Biography:Sport
Chi-Raq (2015),,Spike Lee,Comedy:Crime:Drama:Musical
Female Agents (2008),,Jean-Paul Salomé,Drama:War
#UNFIT: The Psychology of Donald Trump (2020),,Dan Partland,Documentary
I Am Dragon (2015),,Indar Dzhendubaev,Adventure:Fantasy:Romance
The Shooting (1966),,Monte Hellman,Western
"Bon Voyage, Charlie Brown (and Don't Come Back!) (1980)",,Bill Melendez:Phil Roman,Animation:Adventure:Comedy:Family
Salt of the Earth (1954),,Herbert J. Biberman,Drama:History
Cyrano de Bergerac (1950),,Jean-Paul Rappeneau,Comedy:Drama:History:Romance
The Long Walk Home (1990),,Richard Pearce,Drama:History
Peterloo (2018),,Mike Leigh,Drama:History
Cromwell (1970),,Ken Hughes,Biography:Drama:History:War
Bang the Drum Slowly (1973),,John D. Hancock,Drama:Sport
Storm Boy (2019),,Shawn Seet,Drama:Family
Technotise: Edit and I (2009),,Aleksa Gajic:Nebojsa Andric:Stevan Djordjevic,Animation:Drama:Sci-Fi:Thriller
Cinderella (1965),,Kay Cannon,Comedy:Family:Fantasy:Musical:Romance
Strange Wilderness (2008),,Fred Wolf,Adventure:Comedy
Rampage (2009),,Brad Peyton,Action:Adventure:Sci-Fi
Stitches (2012),,Conor McMahon,Comedy:Horror
Jamesy Boy (2014),,Trevor White,Biography:Crime:Drama:Romance
"Tad, the Lost Explorer (2012)",,Enrique Gato,Animation:Adventure:Comedy:Family
Permanent Midnight (1998),,Alejandro Amenábar,Drama:Mystery:Sci-Fi:Thriller
The Cheap Detective (1978),,Robert Moore,Comedy:Crime:Mystery:Romance:Thriller
Hick (2011),,Derick Martini,Comedy:Drama
Chato's Land (1972),,Michael Winner,Western
I Capture the Castle (2003),,Tim Fywell,Drama:Romance
Angoor (1982),,Gulzar,Comedy
A Turtle's Tale: Sammy's Adventures (2010),,Ben Stassen:Mimi Maynard,Animation:Adventure:Family
Jade (1995),,William Friedkin,Crime:Drama:Thriller
D-Day (2013),,Nikkhil Advani,Action:Thriller
Pitfall (1948),,André De Toth,Crime:Film-Noir:Thriller
The Commune (2016),,Thomas Vinterberg,Drama
500 Years (2017),,Pamela Yates,Documentary
Parallel (2021),,Isaac Ezban,Drama:Sci-Fi:Thriller
Angel and the Badman (1947),,James Edward Grant,Romance:Western
Escape Plan: The Extractors (2019),,John Herzfeld,Action:Crime:Thriller
The Woman in Black 2: Angel of Death (2014),,Tom Harper,Drama:Horror:Thriller
The Blood of Heroes (1989),,David Webb Peoples,Action:Sci-Fi:Sport
The Bedroom Window (1987),,Curtis Hanson,Crime:Mystery:Thriller
About Alex (2014),,Jesse Zwick,Drama
The New Daughter (2009),,Luiso Berdejo,Horror:Thriller
My Heart Can't Beat Unless You Tell It To (2021),,Jonathan Cuartas,Drama:Horror
The Winning Season (2009),,Jim Strouse,Comedy:Sport
Dressed to Kill (1946),,Brian De Palma,Crime:Drama:Mystery:Thriller
Kill Chain (2020),,Ken Sanzel,Action:Thriller
Frankie & Alice (2010),,Geoffrey Sax,Biography:Drama
Biswa Kalyan Rath : Biswa Mast Aadmi (2017),,Siddharth Vasani,Comedy
All Nighter (2017),,Gavin Wiesen,Comedy:Drama
Madea's Witness Protection (2012),,Tyler Perry,Comedy:Crime:Drama
Where Hands Touch (2018),,Amma Asante,Drama:Romance:War
North Dallas Forty (1979),,Ted Kotcheff,Comedy:Drama:Sport
Shottas (2002),,Cess Silvera,Action:Crime:Drama
Escape Plan 2: Hades (2018),,Steven C. Miller,Action:Crime:Mystery:Sci-Fi:Thriller
Project Gutenberg (2018),,Felix Chong,Action:Crime:Mystery:Thriller
Mara (2018),,Clive Tonge,Crime:Horror:Thriller
Where the Red Fern Grows (1974),,Norman Tokar,Drama:Family
Dead Birds (2004),,Alex Turner,Horror:Thriller:Western
Ladybugs (1992),,Sidney J. Furie,Comedy:Sport
Not Wanted (1949),,Elmer Clifton:Ida Lupino,Drama
Ae Dil Hai Mushkil (2016),,Karan Johar,Drama:Music:Musical:Romance
Age of Heroes (2011),,Adrian Vitoria,Action:Adventure:Drama:Thriller:War
The Beckoning Silence (2007),,Louise Osmond,Drama
The Tracker (2002),,Rolf de Heer,Drama:History:Western
Wander (2020),,April Mullen,Thriller
Meri Pyaari Bindu (2017),,Akshay Roy,Comedy:Drama:Romance
At Middleton (2013),,Adam Rodgers,Comedy:Romance
The Dark (2018),,Neil Marshall,Adventure:Horror:Thriller
Night Falls on Manhattan (1996),,Sidney Lumet,Crime:Drama:Thriller
Madame (2017),,Amanda Sthers,Comedy:Drama:Romance
Nocturne (2020),,Zu Quirke,Horror:Mystery:Thriller
Lamhe (1991),,Yash Chopra,Drama:Musical:Romance
Hichki (2018),,Siddharth Malhotra,Comedy:Drama
Big Fan (2009),,Robert Siegel,Comedy:Crime:Drama:Sport
Sui Dhaaga - Made in India (2018),,Sharat Katariya,Comedy:Drama
Waffle Street (2015),,Eshom Nelms:Ian Nelms,Comedy:Drama
Royal Wedding (1951),,Stanley Donen,Comedy:Musical:Romance
Vanishing on 7th Street (2010),,Brad Anderson,Horror:Mystery:Thriller
The Truth About Emanuel (2014),,Francesca Gregorini,Drama:Thriller
Hatchet III (2013),,BJ McDonnell,Action:Comedy:Horror:Thriller
Voice from the Stone (2017),,Eric D. Howell,Drama:Mystery:Thriller
Jack Goes Boating (2010),,Philip Seymour Hoffman,Drama:Romance
Max (2002),,Boaz Yakin,Adventure:Drama:Family:War
Accidentally Engaged (2016),,Letia Clouston,Romance
Mo' Money (1992),,Peter MacDonald,Action:Comedy:Crime:Romance:Thriller
Joshy (2016),,Jeff Baena,Comedy:Drama
Maanagaram (2017),,Lokesh Kanagaraj,Action:Thriller
The Spirit of Christmas (2015),,David Jackson,Drama:Mystery:Romance
Beautiful Kate (2009),,Rachel Ward,Drama:Mystery
